movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
The Mitchells vs the Machines,2021,PG,"['Animation', ' Adventure', ' Comedy']",114,7.6,81,108796,76.0
Black Crab,2022,TV-MA,"['Action', ' Adventure', ' Drama']",114,5.7,54,21258,57.0
The Lost World: Jurassic Park,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,6.5,59,419168,65.0
Melancholia,2011,R,"['Drama', ' Sci-Fi']",135,7.1,80,184129,71.0
The Fly,1986,R,"['Drama', ' Horror', ' Sci-Fi']",96,7.6,79,184649,76.0
Bloodshot,2020,PG-13,"['Action', ' Adventure', ' Sci-Fi']",109,5.7,44,78521,57.0
Godzilla,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.4,62,415274,64.0
Brazil,1985,R,"['Drama', ' Sci-Fi']",132,7.9,84,201765,79.0
Cyborg,1989,R,"['Action', ' Sci-Fi', ' Thriller']",86,5.0,24,31919,50.0
Vivarium,2019,R,"['Horror', ' Mystery', ' Sci-Fi']",97,5.8,64,60216,58.0
The Amazing Spider-Man 2,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,6.6,53,498787,66.0
Wreck-It Ralph,2012,PG,"['Animation', ' Adventure', ' Comedy']",101,7.7,72,423805,77.0
The Friendship Game,2022,,['Sci-Fi'],87,3.4,26,403,34.0
Secret Headquarters,2022,PG,"['Action', ' Adventure', ' Comedy']",104,5.1,47,4822,51.0
Superman Returns,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.1,72,284231,61.0
Signs,2002,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,6.8,59,364789,68.0
Downsizing,2017,R,"['Drama', ' Fantasy', ' Sci-Fi']",135,5.8,63,111784,58.0
Logan's Run,1976,PG,"['Action', ' Adventure', ' Sci-Fi']",119,6.8,53,57286,68.0
Jumper,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",88,6.1,35,308405,61.0
A Cure for Wellness,2016,R,"['Drama', ' Fantasy', ' Horror']",146,6.4,47,100065,64.0
Ant-Man and the Wasp,2018,PG-13,"['Action', ' Adventure', ' Comedy']",118,7.0,70,402036,70.0
Coherence,2013,Not Rated,"['Drama', ' Mystery', ' Sci-Fi']",89,7.2,65,129569,72.0
Finch,2021,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",115,6.9,57,82998,69.0
Terminator Genisys,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,6.3,38,279229,63.0
Mad God,2021,,"['Animation', ' Fantasy', ' Horror']",83,6.8,80,8492,68.0
Star Trek: The Motion Picture,1979,G,"['Adventure', ' Mystery', ' Sci-Fi']",131,6.4,50,91115,64.0
Star Trek VI: The Undiscovered Country,1991,PG,"['Action', ' Adventure', ' Sci-Fi']",110,7.2,65,76628,72.0
Treasure Planet,2002,PG,"['Animation', ' Adventure', ' Family']",95,7.2,60,119978,72.0
Bill & Ted Face the Music,2020,PG-13,"['Adventure', ' Comedy', ' Music']",91,5.9,65,48258,59.0
Chaos Walking,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",109,5.7,38,48925,57.0
Big Hero 6,2014,PG,"['Animation', ' Action', ' Adventure']",102,7.8,74,462201,78.0
Godzilla: King of the Monsters,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",132,6.0,48,183739,60.0
Atlantis: The Lost Empire,2001,PG,"['Animation', ' Action', ' Adventure']",95,6.9,52,121421,69.0
Kong: Skull Island,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",118,6.6,62,320409,66.0
I Am Legend,2007,PG-13,"['Action', ' Drama', ' Sci-Fi']",101,7.2,65,758256,72.0
The 5th Wave,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,5.2,33,110606,52.0
Star Trek Into Darkness,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.7,72,484454,77.0
Firestarter,2022,R,"['Drama', ' Horror', ' Sci-Fi']",94,4.6,32,15626,46.0
Land of the Lost,2009,PG-13,"['Action', ' Adventure', ' Comedy']",102,5.3,32,71938,53.0
"Honey, I Shrunk the Kids",1989,PG,"['Adventure', ' Comedy', ' Family']",93,6.4,63,156219,64.0
Boss Level,2020,TV-MA,"['Action', ' Adventure', ' Comedy']",100,6.8,56,68313,68.0
Project Wolf Hunting,2022,,"['Action', ' Crime', ' Sci-Fi']",122,6.2,55,841,62.0
The World's End,2013,R,"['Action', ' Comedy', ' Sci-Fi']",109,6.9,81,283521,69.0
Incredibles 2,2018,PG,"['Animation', ' Action', ' Adventure']",118,7.6,80,297516,76.0
Super 8,2011,PG-13,"['Action', ' Mystery', ' Sci-Fi']",112,7.0,72,355376,70.0
How It Ends,2018,TV-MA,"['Action', ' Drama', ' Horror']",113,5.0,36,53833,50.0
I Am Mother,2019,TV-14,"['Drama', ' Mystery', ' Sci-Fi']",113,6.7,64,91875,67.0
X-Men: The Last Stand,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,6.6,58,518384,66.0
Teenage Mutant Ninja Turtles,2014,PG-13,"['Action', ' Adventure', ' Comedy']",101,5.8,31,211798,58.0
The Cell,2000,R,"['Crime', ' Horror', ' Sci-Fi']",107,6.4,40,103805,64.0
Hellboy,2004,PG-13,"['Action', ' Adventure', ' Fantasy']",122,6.8,72,330892,68.0
Hollow Man,2000,R,"['Action', ' Horror', ' Sci-Fi']",112,5.8,24,132477,58.0
Alien³,1992,R,"['Action', ' Horror', ' Sci-Fi']",114,6.4,59,301750,64.0
Back to the Future Part III,1990,PG,"['Adventure', ' Comedy', ' Sci-Fi']",118,7.4,55,447805,74.0
Isle of Dogs,2018,PG-13,"['Animation', ' Adventure', ' Comedy']",101,7.8,82,169768,78.0
X-Men: Dark Phoenix,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,5.7,43,188209,57.0
Alien: Resurrection,1997,R,"['Action', ' Horror', ' Sci-Fi']",109,6.2,63,249135,62.0
Robots,2005,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,64,148921,64.0
Metropolis,1927,Not Rated,"['Drama', ' Sci-Fi']",153,8.3,98,175021,83.0
RoboCop,2014,PG-13,"['Action', ' Crime', ' Sci-Fi']",117,6.2,52,229680,62.0
Jupiter Ascending,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,5.3,40,189330,53.0
Dredd,2012,R,"['Action', ' Crime', ' Sci-Fi']",95,7.1,60,276919,71.0
Real Genius,1985,PG,"['Comedy', ' Romance', ' Sci-Fi']",108,6.9,71,35067,69.0
The Meg,2018,PG-13,"['Action', ' Horror', ' Sci-Fi']",113,5.6,46,172502,56.0
The Midnight Sky,2020,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",118,5.6,58,83785,56.0
Ghost in the Shell,2017,PG-13,"['Action', ' Crime', ' Drama']",107,6.3,52,216096,63.0
Blast from the Past,1999,PG-13,"['Comedy', ' Drama', ' Romance']",112,6.7,48,66270,67.0
Sunshine,2007,R,"['Sci-Fi', ' Thriller']",107,7.2,64,251876,72.0
The Dead Don't Die,2019,R,"['Comedy', ' Fantasy', ' Horror']",104,5.4,53,79281,54.0
Hulk,2003,PG-13,"['Action', ' Sci-Fi']",138,5.6,54,269269,56.0
Dark City,1998,R,"['Fantasy', ' Mystery', ' Sci-Fi']",100,7.6,66,201185,76.0
Scooby-Doo 2: Monsters Unleashed,2004,PG,"['Adventure', ' Comedy', ' Family']",93,5.1,34,58825,51.0
Explorers,1985,PG,"['Adventure', ' Comedy', ' Family']",109,6.4,58,22376,64.0
Sorry to Bother You,2018,R,"['Comedy', ' Drama', ' Fantasy']",112,6.9,80,80431,69.0
X2: X-Men United,2003,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.4,68,551662,74.0
The Hitchhiker's Guide to the Galaxy,2005,PG,"['Adventure', ' Comedy', ' Sci-Fi']",109,6.7,63,199857,67.0
Battleship,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,5.8,41,249183,58.0
Lilo & Stitch,2002,PG,"['Animation', ' Adventure', ' Comedy']",85,7.3,73,192259,73.0
The Purge,2013,R,"['Horror', ' Sci-Fi', ' Thriller']",85,5.7,41,225606,57.0
Total Recall,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,6.2,43,255802,62.0
Sky High,2005,PG,"['Action', ' Comedy', ' Family']",100,6.3,62,88325,63.0
Pitch Black,2000,R,"['Action', ' Horror', ' Sci-Fi']",109,7.1,49,241353,71.0
Escape Room: Tournament of Champions,2021,PG-13,"['Action', ' Adventure', ' Horror']",88,5.7,48,46033,57.0
Men in Black: International,2019,PG-13,"['Action', ' Adventure', ' Comedy']",114,5.6,38,135482,56.0
The Island,2005,PG-13,"['Action', ' Sci-Fi', ' Thriller']",136,6.8,50,317417,68.0
1984,1984,R,"['Drama', ' Sci-Fi']",113,7.1,67,73158,71.0
The Wolverine,2013,PG-13,"['Action', ' Sci-Fi']",126,6.7,61,468293,67.0
After Yang,2021,PG,"['Drama', ' Sci-Fi']",96,6.6,78,13411,66.0
Mission to Mars,2000,PG,"['Adventure', ' Sci-Fi', ' Thriller']",114,5.6,34,74001,56.0
Deja Vu,2006,PG-13,"['Action', ' Crime', ' Sci-Fi']",126,7.1,59,312762,71.0
Akira,1988,R,"['Animation', ' Action', ' Drama']",124,8.0,67,187496,80.0
The Iron Giant,1999,PG,"['Animation', ' Action', ' Adventure']",86,8.1,85,198896,81.0
Unbreakable,2000,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,7.3,62,419185,73.0
Mortal Engines,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",128,6.1,44,127453,61.0
The City of Lost Children,1995,R,"['Drama', ' Fantasy', ' Sci-Fi']",112,7.5,73,69106,75.0
Mary Shelley's Frankenstein,1994,R,"['Drama', ' Horror', ' Romance']",123,6.3,49,56094,63.0
The Road Warrior,1981,R,"['Action', ' Adventure', ' Sci-Fi']",96,7.6,77,181991,76.0
The Cloverfield Paradox,2018,PG-13,"['Action', ' Horror', ' Sci-Fi']",102,5.5,37,106144,55.0
Star Trek II: The Wrath of Khan,1982,PG,"['Action', ' Adventure', ' Sci-Fi']",113,7.7,68,122554,77.0
Cloverfield,2008,PG-13,"['Action', ' Adventure', ' Horror']",85,7.0,64,400754,70.0
Upgrade,2018,R,"['Action', ' Sci-Fi', ' Thriller']",100,7.5,67,186823,75.0
Demolition Man,1993,R,"['Action', ' Sci-Fi', ' Thriller']",115,6.7,34,178250,67.0
Mystery Men,1999,PG-13,"['Action', ' Comedy', ' Fantasy']",121,6.1,65,67814,61.0
Ghostbusters II,1989,PG,"['Action', ' Comedy', ' Fantasy']",108,6.6,56,208955,66.0
Transformers: Dark of the Moon,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.2,42,409994,62.0
Voyagers,2021,PG-13,"['Adventure', ' Sci-Fi', ' Thriller']",108,5.4,44,21671,54.0
Reminiscence,2021,PG-13,"['Mystery', ' Romance', ' Sci-Fi']",116,5.9,46,56329,59.0
Blade II,2002,R,"['Action', ' Horror', ' Sci-Fi']",117,6.7,52,220572,67.0
The Adjustment Bureau,2011,PG-13,"['Romance', ' Sci-Fi', ' Thriller']",106,7.0,60,259128,70.0
The Lego Batman Movie,2017,PG,"['Animation', ' Action', ' Adventure']",104,7.3,75,153004,73.0
Terminator 3: Rise of the Machines,2003,R,"['Action', ' Sci-Fi']",109,6.3,66,401146,63.0
High Life,2018,R,"['Adventure', ' Drama', ' Horror']",113,5.8,77,36493,58.0
UHF,1989,PG-13,"['Comedy', ' Sci-Fi']",97,6.9,32,29307,69.0
Earth Girls Are Easy,1988,PG,"['Comedy', ' Musical', ' Romance']",100,5.4,66,23710,54.0
Soylent Green,1973,PG,"['Crime', ' Mystery', ' Sci-Fi']",97,7.0,66,65943,70.0
Despicable Me 2,2013,PG,"['Animation', ' Adventure', ' Comedy']",98,7.3,62,401850,73.0
Masters of the Universe,1987,PG,"['Action', ' Adventure', ' Fantasy']",106,5.3,35,41417,53.0
Fantastic Four,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",106,5.7,40,331319,57.0
Jexi,2019,R,"['Comedy', ' Romance', ' Sci-Fi']",84,6.0,39,27925,60.0
Mother/Android,2021,R,"['Drama', ' Sci-Fi', ' Thriller']",110,4.9,43,19174,49.0
Cloudy with a Chance of Meatballs,2009,PG,"['Animation', ' Adventure', ' Comedy']",90,6.9,66,234685,69.0
Bumblebee,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.7,66,166323,67.0
Rise of the Planet of the Apes,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",105,7.6,68,529891,76.0
Pokémon Detective Pikachu,2019,PG,"['Action', ' Adventure', ' Comedy']",104,6.5,53,164160,65.0
Bill & Ted's Excellent Adventure,1989,PG,"['Adventure', ' Comedy', ' Music']",90,6.9,50,132471,69.0
Journey 2: The Mysterious Island,2012,PG,"['Action', ' Adventure', ' Comedy']",94,5.7,41,105448,57.0
The Fountain,2006,PG-13,"['Drama', ' Mystery', ' Romance']",97,7.2,51,240105,72.0
Real Steel,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",127,7.0,56,330819,70.0
Terminator Salvation,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,6.5,49,363492,65.0
Blade: Trinity,2004,R,"['Action', ' Horror', ' Sci-Fi']",113,5.8,38,179292,58.0
The Chronicles of Riddick,2004,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.6,38,230158,66.0
Short Circuit,1986,PG,"['Comedy', ' Family', ' Sci-Fi']",98,6.6,50,62736,66.0
Tomorrowland,2015,PG,"['Action', ' Adventure', ' Family']",130,6.4,60,183539,64.0
The Circle,2017,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",110,5.3,43,93579,53.0
Star Trek IV: The Voyage Home,1986,PG,"['Action', ' Adventure', ' Comedy']",119,7.3,71,86418,73.0
Outside the Wire,2021,R,"['Action', ' Adventure', ' Fantasy']",114,5.4,45,42893,54.0
Transformers: Revenge of the Fallen,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,5.9,35,408106,59.0
Slash/Back,2022,,"['Adventure', ' Horror', ' Sci-Fi']",86,5.7,67,815,57.0
The Rocketeer,1991,PG,"['Action', ' Adventure', ' Family']",108,6.5,61,58536,65.0
Solaris,1972,PG,"['Drama', ' Mystery', ' Sci-Fi']",167,8.0,90,92032,80.0
Never Let Me Go,2010,R,"['Drama', ' Romance', ' Sci-Fi']",103,7.1,69,146945,71.0
The Endless,2017,Not Rated,"['Drama', ' Fantasy', ' Horror']",111,6.5,80,43662,65.0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,"['Action', ' Adventure', ' Comedy']",112,5.9,40,93930,59.0
On the Silver Globe,1988,Unrated,"['Adventure', ' Drama', ' Fantasy']",166,7.2,72,3535,72.0
Deep Blue Sea,1999,R,"['Action', ' Adventure', ' Sci-Fi']",105,5.9,54,134989,59.0
Despicable Me 3,2017,PG,"['Animation', ' Adventure', ' Comedy']",89,6.2,49,136955,62.0
The Wraith,1986,PG-13,"['Action', ' Horror', ' Romance']",93,5.9,39,17255,59.0
Escape from L.A.,1996,R,"['Action', ' Adventure', ' Sci-Fi']",101,5.7,54,75728,57.0
Æon Flux,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",93,5.4,36,129304,54.0
Rampage,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,6.1,45,169388,61.0
Time Bandits,1981,PG,"['Adventure', ' Comedy', ' Fantasy']",110,6.9,79,64385,69.0
The Divergent Series: Insurgent,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,6.2,42,239373,62.0
Color Out of Space,2019,Unrated,"['Horror', ' Mystery', ' Sci-Fi']",111,6.2,70,48868,62.0
Replicas,2018,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",107,5.4,19,39029,54.0
Journey to the Center of the Earth,2008,PG,"['Action', ' Adventure', ' Family']",93,5.8,57,123964,58.0
Bolt,2008,PG,"['Animation', ' Adventure', ' Comedy']",96,6.8,67,212548,68.0
Howard the Duck,1986,PG,"['Action', ' Adventure', ' Comedy']",110,4.7,28,47788,47.0
Possessor,2020,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.5,72,36985,65.0
Mortal Kombat,1995,PG-13,"['Action', ' Adventure', ' Fantasy']",101,5.8,60,118943,58.0
The Matrix Revolutions,2003,R,"['Action', ' Sci-Fi']",129,6.7,47,514298,67.0
Alien vs. Predator,2004,PG-13,"['Action', ' Adventure', ' Horror']",101,5.6,29,202130,56.0
G.I. Joe: The Rise of Cobra,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,5.7,32,209486,57.0
Home,2015,PG,"['Animation', ' Adventure', ' Comedy']",94,6.6,55,103527,66.0
Ender's Game,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,6.6,51,241849,66.0
"I, Robot",2004,PG-13,"['Action', ' Mystery', ' Sci-Fi']",115,7.1,59,541633,71.0
Ralph Breaks the Internet,2018,PG,"['Animation', ' Adventure', ' Comedy']",112,7.0,71,162162,70.0
Space Jam,1996,PG,"['Animation', ' Adventure', ' Comedy']",88,6.5,59,198951,65.0
Predator 2,1990,R,"['Action', ' Horror', ' Sci-Fi']",108,6.3,46,170173,63.0
The Adventures of Sharkboy and Lavagirl 3-D,2005,PG,"['Action', ' Adventure', ' Comedy']",93,3.7,38,38560,37.0
The Colony,2021,R,"['Action', ' Adventure', ' Sci-Fi']",104,5.4,52,9612,54.0
Zathura: A Space Adventure,2005,PG,"['Action', ' Adventure', ' Comedy']",101,6.2,67,105988,62.0
Maze Runner: The Death Cure,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,6.2,50,141442,62.0
The Happening,2008,R,"['Adventure', ' Drama', ' Sci-Fi']",91,5.0,34,208195,50.0
The League of Extraordinary Gentlemen,2003,PG-13,"['Action', ' Adventure', ' Fantasy']",110,5.8,30,177168,58.0
The Core,2003,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,5.5,48,101617,55.0
Strange Days,1995,R,"['Crime', ' Drama', ' Sci-Fi']",145,7.1,66,72573,71.0
The Girl with All the Gifts,2016,R,"['Action', ' Adventure', ' Drama']",111,6.6,67,60519,66.0
Chronicle,2012,PG-13,"['Action', ' Drama', ' Sci-Fi']",84,7.0,69,252966,70.0
Chappie,2015,R,"['Action', ' Crime', ' Drama']",120,6.8,41,253175,68.0
Allegiant,2016,PG-13,"['Action', ' Adventure', ' Mystery']",120,5.7,33,123537,57.0
Invasion of the Body Snatchers,1978,PG,"['Horror', ' Sci-Fi']",115,7.4,75,61880,74.0
The Day the Earth Stood Still,2008,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",104,5.5,40,171737,55.0
Flash Gordon,1980,PG,"['Action', ' Adventure', ' Sci-Fi']",111,6.5,58,57293,65.0
Geostorm,2017,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,5.3,21,109064,53.0
Jurassic Park III,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",92,5.9,42,323794,59.0
"Dude, Where's My Car?",2000,PG-13,"['Comedy', ' Mystery', ' Sci-Fi']",83,5.5,30,140888,55.0
Space Jam: A New Legacy,2021,PG,"['Animation', ' Adventure', ' Comedy']",115,4.5,36,72109,45.0
Speed Racer,2008,PG,"['Action', ' Adventure', ' Comedy']",135,6.0,37,74445,60.0
Hotel Artemis,2018,R,"['Action', ' Crime', ' Drama']",94,6.1,58,54234,61.0
Belle,2021,PG,"['Animation', ' Adventure', ' Drama']",121,7.1,83,12202,71.0
Assassin's Creed,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,5.6,36,200104,56.0
Riddick,2013,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.4,49,167734,64.0
Tron,1982,PG,"['Action', ' Adventure', ' Sci-Fi']",96,6.7,58,122654,67.0
Star Trek III: The Search for Spock,1984,PG,"['Action', ' Adventure', ' Sci-Fi']",105,6.6,56,81456,66.0
The Time Machine,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",96,5.9,42,125497,59.0
City of Ember,2008,PG,"['Adventure', ' Family', ' Fantasy']",90,6.4,58,66725,64.0
Independence Day: Resurgence,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",120,5.2,32,180646,52.0
Cube,1997,R,"['Drama', ' Horror', ' Mystery']",90,7.2,61,232551,72.0
Okja,2017,TV-MA,"['Action', ' Adventure', ' Drama']",120,7.3,75,122434,73.0
Flight of the Navigator,1986,PG,"['Adventure', ' Comedy', ' Family']",90,6.9,64,48878,69.0
War for the Planet of the Apes,2017,PG-13,"['Action', ' Adventure', ' Drama']",140,7.4,82,258300,74.0
The Lego Movie 2: The Second Part,2019,PG,"['Animation', ' Action', ' Adventure']",107,6.6,65,67537,66.0
Doomsday,2008,R,"['Action', ' Sci-Fi', ' Thriller']",105,5.9,51,77752,59.0
Chopping Mall,1986,R,"['Comedy', ' Horror', ' Sci-Fi']",77,5.6,22,15210,56.0
Pandorum,2009,R,"['Action', ' Horror', ' Mystery']",108,6.7,28,152541,67.0
The Thing,2011,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.2,49,133928,62.0
9,2009,PG-13,"['Animation', ' Action', ' Adventure']",79,7.0,60,141200,70.0
Clifford the Big Red Dog,2021,PG,"['Animation', ' Adventure', ' Comedy']",96,5.9,55,13790,59.0
The Stepford Wives,2004,PG-13,"['Comedy', ' Horror', ' Sci-Fi']",93,5.3,42,66909,53.0
Dawn of the Planet of the Apes,2014,PG-13,"['Action', ' Adventure', ' Drama']",130,7.6,79,442853,76.0
Star Trek: Nemesis,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.4,51,79985,64.0
The Postman,1997,R,"['Action', ' Adventure', ' Drama']",177,6.1,29,74638,61.0
Battlestar Galactica,1979,TV-PG,"['Action', ' Adventure', ' Sci-Fi']",60,7.2,39,16058,72.0
Next Exit,2022,,"['Comedy', ' Mystery', ' Romance']",106,5.6,59,560,56.0
Ghost in the Shell,1995,TV-MA,"['Animation', ' Action', ' Crime']",83,7.9,76,144043,79.0
Volcano,1997,PG-13,"['Action', ' Drama', ' Sci-Fi']",104,5.5,55,77563,55.0
Stowaway,2021,TV-MA,"['Adventure', ' Sci-Fi', ' Thriller']",116,5.6,63,46930,56.0
Snake Eyes,2021,PG-13,"['Action', ' Adventure', ' Crime']",121,5.4,43,38960,54.0
Solaris,2002,PG-13,"['Drama', ' Mystery', ' Romance']",99,6.2,65,83558,62.0
RoboCop 2,1990,R,"['Action', ' Crime', ' Sci-Fi']",117,5.8,42,87488,58.0
Lifeforce,1985,R,"['Action', ' Horror', ' Mystery']",101,6.1,50,26588,61.0
Meet the Robinsons,2007,G,"['Animation', ' Adventure', ' Comedy']",95,6.8,61,101512,68.0
Lost in Space,1998,PG-13,"['Action', ' Adventure', ' Family']",130,5.2,42,72963,52.0
Star Trek: First Contact,1996,PG-13,"['Action', ' Adventure', ' Drama']",111,7.6,71,126273,76.0
Monsters,2010,R,"['Adventure', ' Drama', ' Romance']",94,6.4,63,93347,64.0
Westworld,1973,PG,"['Action', ' Sci-Fi', ' Thriller']",88,6.9,77,59259,69.0
In the Shadow of the Moon,2019,TV-MA,"['Action', ' Crime', ' Mystery']",115,6.2,48,53942,62.0
Trollhunter,2010,PG-13,"['Drama', ' Fantasy', ' Horror']",103,6.9,61,75295,69.0
Battlefield Earth,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,2.5,9,80534,25.0
The Handmaid's Tale,1990,R,"['Drama', ' Romance', ' Sci-Fi']",108,6.0,53,9954,60.0
Transcendence,2014,PG-13,"['Action', ' Drama', ' Sci-Fi']",119,6.2,42,230361,62.0
The Dark Tower,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",95,5.6,34,139614,56.0
Morgan,2016,R,"['Action', ' Horror', ' Sci-Fi']",92,5.8,48,43693,58.0
Species,1995,R,"['Action', ' Horror', ' Sci-Fi']",108,5.8,49,81131,58.0
Maggie,2015,PG-13,"['Drama', ' Horror', ' Sci-Fi']",95,5.6,52,44769,56.0
Ron's Gone Wrong,2021,PG,"['Animation', ' Adventure', ' Comedy']",107,7.0,65,34200,70.0
Predators,2010,R,"['Action', ' Adventure', ' Sci-Fi']",107,6.4,51,232985,64.0
Superhero Movie,2008,PG-13,"['Action', ' Comedy', ' Sci-Fi']",75,4.6,33,70004,46.0
Forbidden Planet,1956,G,"['Adventure', ' Sci-Fi']",98,7.5,80,50030,75.0
Videodrome,1983,R,"['Horror', ' Sci-Fi', ' Thriller']",87,7.2,60,94793,72.0
Rollerball,1975,Approved,"['Action', ' Sci-Fi', ' Sport']",125,6.6,56,25815,66.0
Moonraker,1979,PG,"['Action', ' Adventure', ' Sci-Fi']",126,6.2,66,102318,62.0
The Return of the Living Dead,1985,R,"['Comedy', ' Horror', ' Sci-Fi']",91,7.3,66,62686,73.0
Thunder Force,2021,PG-13,"['Action', ' Adventure', ' Comedy']",106,4.5,34,42431,45.0
Knowing,2009,PG-13,"['Action', ' Mystery', ' Sci-Fi']",121,6.2,41,235833,62.0
Pacific Rim: Uprising,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",111,5.6,44,118373,56.0
Mimic,1997,R,"['Horror', ' Sci-Fi']",105,6.0,55,52070,60.0
The Host,2006,R,"['Drama', ' Horror', ' Sci-Fi']",120,7.1,85,122908,71.0
G.I. Joe: Retaliation,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",110,5.7,41,182347,57.0
Death Race 2000,1975,R,"['Action', ' Comedy', ' Sci-Fi']",80,6.2,58,28256,62.0
The Manchurian Candidate,2004,R,"['Drama', ' Mystery', ' Sci-Fi']",129,6.6,76,111650,66.0
Innerspace,1987,PG,"['Action', ' Adventure', ' Comedy']",120,6.8,66,60743,68.0
Coneheads,1993,PG,"['Comedy', ' Sci-Fi']",88,5.4,49,55013,54.0
It Comes at Night,2017,R,"['Drama', ' Horror', ' Mystery']",91,6.2,78,94996,62.0
Maze Runner: The Scorch Trials,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.3,43,252060,63.0
Piranha 3DD,2012,R,"['Comedy', ' Horror', ' Sci-Fi']",83,3.8,24,43175,38.0
Star Trek: Insurrection,1998,PG,"['Action', ' Adventure', ' Sci-Fi']",103,6.4,64,75855,64.0
Scanners,1981,R,"['Horror', ' Sci-Fi', ' Thriller']",103,6.7,60,56522,67.0
Splinter,2008,R,"['Horror', ' Sci-Fi', ' Thriller']",82,6.1,58,38349,61.0
Awake,2021,TV-MA,"['Action', ' Adventure', ' Drama']",96,4.9,35,22212,49.0
Cocoon,1985,PG-13,"['Comedy', ' Drama', ' Sci-Fi']",117,6.7,65,64248,67.0
Slither,2006,R,"['Comedy', ' Horror', ' Sci-Fi']",95,6.5,69,83293,65.0
Disaster Movie,2008,PG-13,"['Comedy', ' Sci-Fi']",87,1.9,15,91894,19.0
Universal Soldier,1992,R,"['Action', ' Sci-Fi']",102,6.1,35,90682,61.0
Star Trek V: The Final Frontier,1989,PG,"['Action', ' Adventure', ' Fantasy']",107,5.5,43,60872,55.0
Fantastic Four: Rise of the Silver Surfer,2007,PG,"['Action', ' Adventure', ' Fantasy']",92,5.6,45,267078,56.0
Paprika,2006,R,"['Animation', ' Drama', ' Fantasy']",90,7.7,81,84336,77.0
Monsters vs. Aliens,2009,PG,"['Animation', ' Action', ' Adventure']",94,6.4,56,163743,64.0
Zardoz,1974,R,"['Adventure', ' Fantasy', ' Sci-Fi']",105,5.8,46,22906,58.0
The Void,2016,Not Rated,"['Horror', ' Mystery', ' Sci-Fi']",90,5.9,62,37067,59.0
