movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
Spiderhead,2022,R,"['Action', ' Crime', ' Drama']",106,5.4,54,55768,54.0
Ready Player One,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64,436376,74.0
Zack Snyder's Justice League,2021,R,"['Action', ' Adventure', ' Fantasy']",242,8.0,54,396866,80.0
Arrival,2016,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",116,7.9,81,693333,79.0
Captain America: The First Avenger,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,66,844230,69.0
Minions: The Rise of Gru,2022,PG,"['Animation', ' Adventure', ' Comedy']",87,6.6,56,62306,66.0
Man of Steel,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,7.1,55,771517,71.0
The Fifth Element,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.6,52,474947,76.0
Shang-Chi and the Legend of the Ten Rings,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",132,7.4,71,379190,74.0
Aquaman,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,474196,68.0
The Avengers,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,8.0,69,1387863,80.0
The Adam Project,2022,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.7,55,199646,67.0
Lightyear,2022,PG,"['Animation', ' Action', ' Adventure']",100,6.0,60,102471,60.0
Sonic the Hedgehog 2,2022,PG,"['Action', ' Adventure', ' Comedy']",122,6.5,47,65737,65.0
Cargo,2017,TV-MA,"['Drama', ' Horror', ' Sci-Fi']",105,6.3,65,44277,63.0
Donnie Darko,2001,R,"['Drama', ' Mystery', ' Sci-Fi']",113,8.0,88,801330,80.0
Idiocracy,2006,R,"['Adventure', ' Comedy', ' Sci-Fi']",84,6.5,66,165041,65.0
The Mist,2007,R,"['Horror', ' Sci-Fi', ' Thriller']",126,7.1,58,313085,71.0
Significant Other,2022,R,"['Drama', ' Mystery', ' Sci-Fi']",84,5.7,57,5610,57.0
Dual,2022,R,"['Comedy', ' Drama', ' Sci-Fi']",94,5.8,62,8456,58.0
Suicide Squad,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",123,5.9,40,685662,59.0
Terminator 2: Judgment Day,1991,R,"['Action', ' Sci-Fi']",137,8.6,75,1095661,86.0
Thor: Ragnarok,2017,PG-13,"['Action', ' Adventure', ' Comedy']",130,7.9,74,749925,79.0
Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",141,6.5,53,450401,65.0
Godzilla vs. Kong,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",113,6.3,59,209269,63.0
Star Trek,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.9,82,604417,79.0
Her,2013,R,"['Drama', ' Romance', ' Sci-Fi']",126,8.0,91,612725,80.0
The Martian,2015,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",144,8.0,80,852046,80.0
The Munsters,2022,PG,"['Comedy', ' Family', ' Fantasy']",109,4.5,57,8901,45.0
A Quiet Place,2018,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82,528180,75.0
Event Horizon,1997,R,"['Horror', ' Sci-Fi', ' Thriller']",96,6.6,35,182415,66.0
Mr. Nobody,2009,R,"['Drama', ' Fantasy', ' Romance']",141,7.8,63,234528,78.0
The Terminator,1984,R,"['Action', ' Sci-Fi']",107,8.1,84,863728,81.0
Edge of Tomorrow,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,7.9,71,678258,79.0
Transformers,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,7.0,61,638574,70.0
2001: A Space Odyssey,1968,G,"['Adventure', ' Sci-Fi']",149,8.3,84,668054,83.0
The Hunger Games: Catching Fire,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",146,7.5,76,665623,75.0
V for Vendetta,2005,R,"['Action', ' Drama', ' Sci-Fi']",132,8.2,62,1120650,82.0
Green Lantern,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,5.5,39,286237,55.0
The Day After Tomorrow,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.4,47,449870,64.0
Star Wars: Episode VII - The Force Awakens,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",138,7.8,80,929543,78.0
Watchmen,2009,R,"['Action', ' Drama', ' Mystery']",162,7.6,56,552878,76.0
Logan,2017,R,"['Action', ' Drama', ' Sci-Fi']",137,8.1,77,761158,81.0
Snowpiercer,2013,R,"['Action', ' Sci-Fi', ' Thriller']",126,7.1,84,362154,71.0
The Thing,1982,R,"['Horror', ' Mystery', ' Sci-Fi']",109,8.2,57,425732,82.0
E.T. the Extra-Terrestrial,1982,PG,"['Adventure', ' Family', ' Sci-Fi']",115,7.9,91,410323,79.0
Spider-Man: Homecoming,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.4,73,655211,74.0
Divergent,2014,PG-13,"['Action', ' Adventure', ' Mystery']",139,6.6,48,461640,66.0
Ex Machina,2014,R,"['Drama', ' Sci-Fi', ' Thriller']",108,7.7,78,545581,77.0
Jurassic World,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,59,643197,69.0
Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",98,7.3,71,569530,73.0
X-Men,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,7.3,64,616787,73.0
Under the Skin,2013,R,"['Drama', ' Horror', ' Mystery']",108,6.3,80,145308,63.0
Captain America: Civil War,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147,7.8,75,786012,78.0
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",152,6.9,84,631162,69.0
Star Wars: Episode I - The Phantom Menace,1999,PG,"['Action', ' Adventure', ' Fantasy']",136,6.5,51,805095,65.0
Dune,1984,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.3,41,162727,63.0
The Faculty,1998,R,"['Horror', ' Mystery', ' Sci-Fi']",104,6.5,61,125089,65.0
Starship Troopers,1997,R,"['Action', ' Adventure', ' Sci-Fi']",129,7.3,51,297543,73.0
The Platform,2019,TV-MA,"['Horror', ' Sci-Fi', ' Thriller']",94,7.0,73,225539,70.0
Armageddon,1998,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.7,42,427512,67.0
War of the Worlds,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.5,73,450201,65.0
Children of Men,2006,R,"['Action', ' Drama', ' Sci-Fi']",109,7.9,84,501625,79.0
Wonder Woman,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",141,7.4,76,657957,74.0
Meet Cute,2022,TV-MA,"['Comedy', ' Drama', ' Fantasy']",89,5.6,50,4082,56.0
Batman v Superman: Dawn of Justice,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.4,44,699730,64.0
Spider-Man: Far from Home,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,7.4,69,490903,74.0
Limitless,2011,PG-13,"['Sci-Fi', ' Thriller']",105,7.4,59,575129,74.0
Star Wars: Episode V - The Empire Strikes Back,1980,PG,"['Action', ' Adventure', ' Fantasy']",124,8.7,82,1287778,87.0
Annihilation,2018,R,"['Adventure', ' Drama', ' Horror']",115,6.8,79,327273,68.0
Predator,1987,R,"['Action', ' Adventure', ' Horror']",107,7.8,47,424522,78.0
Iron Man 3,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,7.1,62,849047,71.0
A Quiet Place Part II,2020,PG-13,"['Drama', ' Horror', ' Sci-Fi']",97,7.2,71,227551,72.0
Vesper,2022,Not Rated,"['Adventure', ' Drama', ' Sci-Fi']",114,6.0,70,11356,60.0
WALL·E,2008,G,"['Animation', ' Adventure', ' Family']",98,8.4,95,1112643,84.0
Iron Man 2,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,57,816551,69.0
Free Birds,2013,PG,"['Animation', ' Adventure', ' Comedy']",91,5.8,38,24616,58.0
Independence Day,1996,PG-13,"['Action', ' Adventure', ' Sci-Fi']",145,7.0,59,576372,70.0
Minority Report,2002,PG-13,"['Action', ' Crime', ' Mystery']",145,7.6,80,552633,76.0
Avengers: Age of Ultron,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",141,7.3,66,861896,73.0
X-Men: First Class,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,7.7,65,693621,77.0
RoboCop,1987,R,"['Action', ' Crime', ' Sci-Fi']",102,7.6,70,260298,76.0
What Happened to Monday,2017,TV-MA,"['Action', ' Crime', ' Fantasy']",123,6.8,47,124131,68.0
Hot Tub Time Machine,2010,R,"['Comedy', ' Sci-Fi']",101,6.4,63,176597,64.0
Venom: Let There Be Carnage,2021,PG-13,"['Action', ' Adventure', ' Sci-Fi']",97,5.9,49,223510,59.0
Spider-Man 3,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",139,6.3,59,591141,63.0
The Butterfly Effect,2004,R,"['Drama', ' Sci-Fi', ' Thriller']",113,7.6,30,490829,76.0
Captain Marvel,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.8,64,559402,68.0
The Hunger Games: Mockingjay - Part 2,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.5,65,328326,65.0
Star Wars: Episode VI - Return of the Jedi,1983,PG,"['Action', ' Adventure', ' Fantasy']",131,8.3,58,1051107,83.0
Venom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35,484898,66.0
Solo: A Star Wars Story,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,6.9,62,347453,69.0
Weird Science,1985,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",94,6.6,46,90253,66.0
Something in the Dirt,2022,R,"['Comedy', ' Horror', ' Sci-Fi']",116,6.1,76,1184,61.0
Doctor Strange,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",115,7.5,72,741036,75.0
Teenage Mutant Ninja Turtles,1990,PG,"['Action', ' Adventure', ' Comedy']",93,6.7,51,95274,67.0
Justice League,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",120,6.1,45,453333,61.0
Pixels,2015,PG-13,"['Action', ' Comedy', ' Fantasy']",105,5.6,27,145913,56.0
The Lobster,2015,R,"['Drama', ' Romance', ' Sci-Fi']",119,7.1,82,257251,71.0
The Tomorrow War,2021,PG-13,"['Action', ' Adventure', ' Drama']",138,6.5,45,205757,65.0
Jurassic World: Fallen Kingdom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",128,6.1,51,317264,61.0
Bird Box,2018,R,"['Horror', ' Mystery', ' Sci-Fi']",124,6.6,51,342362,66.0
Despicable Me,2010,PG,"['Animation', ' Adventure', ' Comedy']",95,7.6,72,548226,76.0
Infinite,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",106,5.4,28,50974,54.0
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",140,7.6,68,791032,76.0
Life,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",104,6.6,54,232521,66.0
Back to the Future Part II,1989,PG,"['Adventure', ' Comedy', ' Sci-Fi']",108,7.8,57,533343,78.0
Fatman,2020,R,"['Action', ' Adventure', ' Comedy']",100,5.9,40,25576,59.0
Splice,2009,R,"['Horror', ' Sci-Fi']",104,5.8,66,98219,58.0
Spider-Man 2,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.4,83,653119,74.0
The Amazing Spider-Man,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,6.9,66,656475,69.0
2012,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",158,5.8,49,379090,58.0
Blade,1998,R,"['Action', ' Horror', ' Sci-Fi']",120,7.1,47,276664,71.0
Vanilla Sky,2001,R,"['Fantasy', ' Mystery', ' Romance']",136,6.9,45,269042,69.0
Total Recall,1990,R,"['Action', ' Adventure', ' Sci-Fi']",113,7.5,57,332363,75.0
In Time,2011,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,6.7,53,412999,67.0
The Maze Runner,2014,PG-13,"['Action', ' Mystery', ' Sci-Fi']",113,6.8,57,468206,68.0
Source Code,2011,PG-13,"['Action', ' Drama', ' Mystery']",93,7.5,74,521728,75.0
Looper,2012,R,"['Action', ' Drama', ' Sci-Fi']",119,7.4,84,576934,74.0
District 9,2009,R,"['Action', ' Sci-Fi', ' Thriller']",112,7.9,81,682672,79.0
Stargate,1994,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,7.0,42,192265,70.0
Face/Off,1997,R,"['Action', ' Crime', ' Sci-Fi']",138,7.3,82,378982,73.0
Predestination,2014,R,"['Action', ' Drama', ' Sci-Fi']",97,7.4,69,284212,74.0
Alien: Covenant,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",122,6.4,65,282808,64.0
Passengers,2016,PG-13,"['Drama', ' Romance', ' Sci-Fi']",116,7.0,41,406610,70.0
WarGames,1983,PG,"['Action', ' Drama', ' Sci-Fi']",114,7.1,77,101592,71.0
Synchronic,2019,R,"['Crime', ' Drama', ' Horror']",102,6.2,64,31862,62.0
Super Mario Bros.,1993,PG,"['Adventure', ' Comedy', ' Family']",104,4.1,35,55447,41.0
Captain America: The Winter Soldier,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",136,7.8,70,844430,78.0
Paul,2011,R,"['Adventure', ' Comedy', ' Sci-Fi']",104,6.9,57,254177,69.0
28 Days Later...,2002,R,"['Drama', ' Horror', ' Sci-Fi']",113,7.5,73,416109,75.0
Ant-Man,2015,PG-13,"['Action', ' Adventure', ' Comedy']",117,7.3,64,665890,73.0
Mortal Kombat,2021,R,"['Action', ' Adventure', ' Fantasy']",110,6.1,44,173547,61.0
Glass,2019,PG-13,"['Drama', ' Horror', ' Sci-Fi']",129,6.6,43,244331,66.0
Planet of the Apes,1968,G,"['Adventure', ' Sci-Fi']",112,8.0,79,181159,80.0
World War Z,2013,PG-13,"['Action', ' Adventure', ' Horror']",116,7.0,63,666996,70.0
Mad Max,1979,R,"['Action', ' Adventure', ' Sci-Fi']",88,6.8,73,208825,68.0
Galaxy Quest,1999,PG,"['Adventure', ' Comedy', ' Sci-Fi']",102,7.4,70,165140,74.0
The Incredible Hulk,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,61,493438,66.0
The Lego Movie,2014,PG,"['Animation', ' Action', ' Adventure']",100,7.7,83,356612,77.0
Superman,1978,PG,"['Action', ' Adventure', ' Sci-Fi']",143,7.4,81,176126,74.0
Megamind,2010,PG,"['Animation', ' Action', ' Comedy']",95,7.3,63,263888,73.0
The Hunger Games: Mockingjay - Part 1,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.6,64,456835,66.0
Terminator: Dark Fate,2019,R,"['Action', ' Adventure', ' Sci-Fi']",128,6.2,54,178615,62.0
The New Mutants,2020,PG-13,"['Action', ' Horror', ' Mystery']",94,5.3,43,80342,53.0
Tron: Legacy,2010,PG,"['Action', ' Adventure', ' Sci-Fi']",125,6.8,49,338676,68.0
Pacific Rim,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.9,65,503246,69.0
Contact,1997,PG,"['Drama', ' Mystery', ' Sci-Fi']",150,7.5,62,276256,75.0
Deep Impact,1998,PG-13,"['Action', ' Drama', ' Sci-Fi']",120,6.2,40,179934,62.0
Cloud Atlas,2012,R,"['Drama', ' Mystery', ' Sci-Fi']",172,7.4,55,363432,74.0
Army of the Dead,2021,R,"['Action', ' Crime', ' Horror']",148,5.7,57,173015,57.0
The Running Man,1987,R,"['Action', ' Sci-Fi', ' Thriller']",101,6.6,45,154920,66.0
Elysium,2013,R,"['Action', ' Drama', ' Sci-Fi']",109,6.6,61,449746,66.0
Spaceballs,1987,PG,"['Adventure', ' Comedy', ' Sci-Fi']",96,7.1,46,191984,71.0
The Bad Batch,2016,R,"['Action', ' Horror', ' Mystery']",118,5.2,62,32203,52.0
Resident Evil: Welcome to Raccoon City,2021,R,"['Action', ' Horror', ' Sci-Fi']",107,5.2,44,54094,52.0
Ad Astra,2019,PG-13,"['Adventure', ' Drama', ' Mystery']",123,6.5,80,236274,65.0
Minions,2015,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,56,240289,64.0
Valerian and the City of a Thousand Planets,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",136,6.4,51,182780,64.0
Ghostbusters,2016,PG-13,"['Action', ' Comedy', ' Fantasy']",117,6.9,60,233017,69.0
X-Men: Days of Future Past,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.9,75,713101,79.0
X-Men Origins: Wolverine,2009,PG-13,"['Action', ' Sci-Fi']",107,6.5,40,506530,65.0
Lucy,2014,R,"['Action', ' Sci-Fi', ' Thriller']",89,6.4,61,497855,64.0
They Live,1988,R,"['Action', ' Horror', ' Sci-Fi']",94,7.2,55,131658,72.0
Star Wars: Episode II - Attack of the Clones,2002,PG,"['Action', ' Adventure', ' Fantasy']",142,6.6,54,710970,66.0
Batman & Robin,1997,PG-13,"['Action', ' Sci-Fi']",125,3.7,28,254964,37.0
X-Men: Apocalypse,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,6.9,52,436232,69.0
Sonic the Hedgehog,2020,PG,"['Action', ' Adventure', ' Comedy']",99,6.5,47,140216,65.0
John Carter,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,6.6,51,274214,66.0
Transformers: The Last Knight,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,5.2,27,152724,52.0
A.I. Artificial Intelligence,2001,PG-13,"['Drama', ' Sci-Fi']",146,7.2,65,309051,72.0
Escape Room,2019,PG-13,"['Action', ' Adventure', ' Horror']",99,6.4,48,123734,64.0
Fire in the Sky,1993,PG-13,"['Biography', ' Drama', ' Fantasy']",109,6.5,42,25630,65.0
Star Trek Beyond,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.0,68,247329,70.0
Waterworld,1995,PG-13,"['Action', ' Adventure', ' Sci-Fi']",177,6.2,56,197799,62.0
Serenity,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,7.8,74,297063,78.0
12 Monkeys,1995,R,"['Mystery', ' Sci-Fi', ' Thriller']",129,8.0,74,618662,80.0
Turbo: A Power Rangers Movie,1997,PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9064,36.0
Gravity,2013,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",91,7.7,96,825783,77.0
Equilibrium,2002,R,"['Action', ' Drama', ' Sci-Fi']",107,7.3,33,332292,73.0
28 Weeks Later,2007,R,"['Action', ' Adventure', ' Horror']",100,6.9,78,278243,69.0
Close Encounters of the Third Kind,1977,PG,"['Drama', ' Sci-Fi']",138,7.6,90,203208,76.0
Transformers: Age of Extinction,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",165,5.6,32,315212,56.0
Barbarella,1968,PG,"['Adventure', ' Comedy', ' Fantasy']",98,5.8,51,35389,58.0
The Invisible Man,2020,R,"['Drama', ' Horror', ' Mystery']",124,7.1,72,228941,71.0
Men in Black II,2002,PG-13,"['Action', ' Adventure', ' Comedy']",88,6.1,49,377075,61.0
The Predator,2018,R,"['Action', ' Adventure', ' Sci-Fi']",107,5.3,48,134648,53.0
10 Cloverfield Lane,2016,PG-13,"['Drama', ' Horror', ' Mystery']",103,7.2,76,329038,72.0
Gattaca,1997,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",106,7.8,64,305791,78.0
